name_id,link
耿彧,NA
耿武,k.html#Kou-Bu1
黄射,k.html#Kou-Eki1
高焉,k.html#Kou-En1
黄琬,han.html#Kou-En
侯音,k.html#Kou-On
侯諧,k.html#Kou-Kai1
黄蓋,wu10.html#Kou-Gai
高奐,k.html#Kou-Kan1
高覧,k.html#Kou-Ran1
高幹,k.html#Kou-Kan
黄権,shu13.html#Kou-Ken
黄射,NA
黄射,k.html#Kou-Eki1
浩周,k.html#Kou-Shuu1
高順,k.html#Kou-Jun1
高翔,k.html#Kou-Shou2
呂翔,r.html#Ryo-Shou1
黄承彦,k.html#Kou-Shougen
侯成,k.html#Kou-Sei1
侯選,k.html#Kou-Sen1
黄祖,k.html#Kou-So
公孫越,k.html#Kouson-Etsu1
公孫紀,k.html#Kouson-Ki1
公孫続,k.html#Kouson-Zoku1
公孫犢,k.html#Kouson-Toku
公孫範,k.html#Kouson-Han1
高岱,k.html#Kou-Tai1
康泰,k.html#Kou-Tai2
黄忠,shu6.html#Kou-Chuu
高定,k.html#Kou-Tei
高定元,k.html#Kou-Teigen
高定元,k.html#Kou-Teigen
高沛,k.html#Kou-Hai1
高蕃,k.html#Kou-Han1
高蕃,NA
高蕃,k.html#Kou-Han1
勾扶,k.html#Kou-Fu2
句扶,k.html#Kou-Fu1
句扶,k.html#Kou-Fu1
耿武,k.html#Kou-Bu1
耿包,k.html#Kou-Hou2
耿苞,k.html#Kou-Hou1
耿苞,k.html#Kou-Hou1
皇甫晏,k.html#Kouho-An1
皇甫嵩,han.html#Kouho-Suu
耿雍,NA
簡雍,shu8.html#Kan-You
高覧,k.html#Kou-Ran1
黄龍羅,k.html#Kouryou-Ra1
呉匡,k.html#Go-Kyou1
谷朗,k.html#Koku-Rou1
伍瓊,k.html#Go-Kei1
伍瓊,k.html#Go-Kei2
伍孚,k.html#Go-Fu1
吾彦,jin.html#Go-Gen
壺寿,k.html#Ko-Ju1
胡脩,k.html#Ko-Shuu
胡遵,k.html#Ko-Jun1
胡軫,k.html#Ko-Shin
胡种,k.html#Ko-Chuu1
狐忠,k.html#Ko-Chuu2
馬忠,shu13.html#Ba-Chuu
狐篤,k.html#Ko-Toku
馬忠,shu13.html#Ba-Chuu
呉敦,k.html#Go-Ton
呉班,k.html#Go-Han1
伍孚,k.html#Go-Fu1
胡奮,jin.html#Ko-Fun
胡封,k.html#Ko-Hou1
呉蘭,k.html#Go-Ran1
崔巨業,s.html#Sai-Kyogyou1
崔鈞,s.html#Sai-Kin
崔州平,s.html#Sai-Shuuhei
蔡琰,fem.html#Sai-En1
蔡琰,s.html#Sai-En1
蔡瓚,s.html#Sai-San1
蔡風,s.html#Sai-Fuu2
蔡諷,s.html#Sai-Fuu1
蔡方,s.html#Sai-Hou1
蔡瑁,s.html#Sai-Bou
左慈,han.html#Sa-Ji1
爨習,s.html#San-Shuu
史渙,s.html#Shi-Kan1
師宜官,s.html#Shi-Gikan1
史侯,others.html#Shikou1
師纂,s.html#Shi-San
史招,s.html#Shi-Shou1
士仁,s.html#Shi-Jin
司馬徽,s.html#Shiba-Ki1
司馬勝之,s.html#Shiba-Shoushi1
司馬朗,wei15.html#Shiba-Rou
車胄,s.html#Sha-Chuu1
習宇,s.html#Shuu-U1
習温,s.html#Shuu-On1
周羣,shu12.html#Shuu-Gun
習宏,s.html#Shuu-Kou1
周処,jin.html#Shuu-Sho
周慎,s.html#Shuu-Shin1
周泰,wu10.html#Shuu-Tai
習珍,s.html#Shuu-Chin1
周毖,s.html#Shuu-Hi1
周毖,s.html#Shuu-Hi2
周珌,s.html#Shuu-Hitsu1
周珌,s.html#Shuu-Hitsu1
周不疑,s.html#Shuu-Fugi1
周勃,s.html#Shuu-Botsu1
朱応,s.html#Shu-Ou1
朱蓋,s.html#Shu-Gai
朱漢,s.html#Shu-Kan1
宿舒,s.html#Shuku-Jo1
朱鑠,s.html#Shu-Shaku1
朱術,s.html#Shu-Jutsu1
朱雋,NA
朱儁,han.html#Shu-Shun1
朱儁,han.html#Shu-Shun1
朱褒,s.html#Shu-Hou
朱霊,s.html#Shu-Rei
荀諶,s.html#Jun-Shin1
淳于瓊,s.html#Junu-Kei1
淳于仲簡,s.html#Junu-Chuukan1
淳于瓊,s.html#Junu-Kei1
蔣琬,shu14.html#Shou-En
昌豨,s.html#Shou-Ki
蔣奇,s.html#Shou-Ki2
蔣義渠,s.html#Shou-Gikyo
焦矯,s.html#Shou-Kyou1
焦征羌,s.html#Shou-Seikyou1
蔣欽,wu10.html#Shou-Kin
蔣珩,s.html#Shou-Kou1
蕭建,s.html#Shou-Ken1
譙周,shu12.html#Shou-Shuu
蔣舒,s.html#Shou-Jo1
焦触,s.html#Shou-Shoku1
焦征羌,s.html#Shou-Seikyou1
昌霸,s.html#Shou-Ha
昌豨,s.html#Shou-Ki
向雄,jin.html#Shou-Yuu
葉雄,s.html#Shou-Yuu1
向朗,shu11.html#Shou-Rou
焦和,s.html#Shou-Wa
徐栄,s.html#Jo-Ei
諸葛緒,s.html#Shokatsu-Sho1
諸葛靚,s.html#Shokatsu-Sei1
徐璆,han.html#Jo-Kyuu1
徐勛,s.html#Jo-Kun1
徐晃,wei17.html#Jo-Kou
沮鵠,s.html#Sho-Koku1
沮授,s.html#Sho-Ju1
徐商,s.html#Jo-Shou2
舒邵,s.html#Jo-Shou1
徐盛,wu10.html#Jo-Sei
舒仲応,s.html#Jo-Chuuou1
徐登,han.html#Jo-Tou1
審栄,s.html#Shin-Ei1
沈瑩,s.html#Shin-Ei2
秦誼,s.html#Shin-Gi1
秦頡,NA
秦頡,s.html#Shin-Ketsu1
秦宜禄,s.html#Shin-Giroku
秦頡,s.html#Shin-Ketsu1
秦秀,jin.html#Shin-Shuu
岑述,s.html#Shin-Jutsu1
秦松,s.html#Shin-Shou1
審配,s.html#Shin-Pai1
秦宓,shu8.html#Shin-Bitsu
辛評,s.html#Shin-Pyou1
任約,s.html#Jin-Yaku1
袁約,a.html#En-Yaku
