name,name_id
龐義,龐羲
龐徳,龐悳
陳群,陳羣
辛毘,辛毗
梁剛,梁綱
李湛,李堪
田予,田豫
劉潰,劉璝
鄧竜,鄧龍
喬玄,橋玄
鐘会,鍾会
鐘進,鍾進
楊修,楊脩
雷同,雷銅
王淩,王凌
歩隲,歩騭
王垢,王垕
