name
吉川晃司
糞芸爪覧
翠闌
小玉
文官
武官
勅使
町民
密使
皇后
老母
倭人
単福
県令
闇商人
異民族
徐堅
趙儀
老人
書生
劉泌
関定
何太后
胡姫
蒋容
雲玲
林芝
献帝
少帝
霊帝
倭女王
倭巫女
倭武将
烏丸大王
烏丸武将
羌大王
羌武将
山越大王
山越武将
南蛮大王
南蛮武将
北斗
南斗
嬴政
英布
王翦
楽毅
霍去病
岳飛
管夷吾
韓信
項燕
項籍
孔丘
高長恭
蕭何
秦良玉
孫濱
孫臏
張儀
張良
成吉思汗
陳慶之
白起
范増
楊大眼
李斯
李勣
劉邦
藺相如
郭隗
関銀屏
呉起
劇辛
蘇秦
虞姫
韓世忠
梁紅玉
田忌
田単
田文
田因斉
蒙恬
呂不韋
范蠡
魏無忌
鮑叔牙
龐涓
韓非
屈原
熊疑
李信
李牧
廉頗
呂尚
魏罃
黄歇
公輸般
鄒忌
姫平
蘇秦
趙勝
韓武
范蠡
織田信長
柴田勝家
前田利家
明智光秀
羽柴秀吉
斎藤道三
徳川家康
本多忠勝
伊達政宗
最上義光
佐竹義重
北条氏康
武田信玄
山県昌景
真田昌幸
真田幸村
上杉謙信
上杉景勝
直江兼続
柿崎景家
今川義元
浅井長政
松永久秀
毛利元就
黒田孝高
大友宗麟
島津義久
島津義弘
井伊直政
鈴木重秀
福島正則
加藤清正
竹中重治
立花道雪
石田三成
大谷吉継
島左近
蒲生氏郷
鍋島直茂
片倉景綱
武田勝頼
津軽為信
伊達成実
山本勘助
真田幸隆
立花宗茂
丹羽長秀
上泉信綱
滝川一益
武田信繁
高坂昌信
真田信幸
柳生宗厳
島津家久
島津貴久
島津忠恒
斎藤朝信
本庄繁長
前田慶次
南部晴政
島津歳久
片倉重長
秋山信友
宮本武蔵
片倉喜多
