name,name_id
干糜,于糜
王修,王脩
車胄,車冑
関彜,関彝
粱剛,梁綱
呉鋼,呉綱
孫咬,孫皎
范疆,范彊
薛翊,薛珝
劉潰,劉璝
襲都,龔都
蘆植,盧植
鐘会,鍾会
李湛,李堪
楊修,楊脩
王修,王脩
劉勳,劉勲
笮融,乍融
